Name,Specialization,Experience (years),Degrees,Address,City,State,Contact,Email,Rating,Popular Reviews,Hospital,Consultation Fee (INR)
Dr. Neha Roy,Gynecologist,4,"MD, MS, DNB","Arundelpet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7559214040,dr..neha.roy@guntur.hospital.com,3.9,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,Kamineni Hospitals,1109
Dr. Kiara Sharma,General Physician,10,"PhD, DNB","Kothapet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7356649297,dr..kiara.sharma@guntur.hospital.com,3.7,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,Government General Hospital,1558
Dr. Karan Banerjee,Ophthalmologist,34,"MBBS, DNB, MCh","Brodipet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 9121164780,dr..karan.banerjee@guntur.hospital.com,3.8,Patient and compassionate treatment.; Highly recommended for specialized care.; Took time to address all concerns.,Kamineni Hospitals,1338
Dr. Kavya Sekhar,Neurologist,5,"MCh, DM","Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7969760401,dr..kavya.sekhar@visakhapatnam.hospital.com,4.3,Highly professional and caring.; Patient and compassionate treatment.; Explained the condition very clearly.,Seven Hills Hospital,610
Dr. Niharika Iyer,Orthopedic,37,"MCh, DNB, MBBS","Brodipet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 9107541171,dr..niharika.iyer@guntur.hospital.com,4.1,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,Government General Hospital,456
Dr. Neha Saxena,Dermatologist,7,"MS, PhD, DM","Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7190276047,dr..neha.saxena@visakhapatnam.hospital.com,3.8,Explained the condition very clearly.; Took time to address all concerns.; Highly professional and caring.,Care Hospitals,505
Dr. Kavya Reddy,ENT Specialist,4,"PhD, MD, DM","Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8260655770,dr..kavya.reddy@vijayawada.hospital.com,4.4,Patient and compassionate treatment.; Explained the condition very clearly.; Highly recommended for specialized care.,Andhra Hospitals,1496
Dr. Sneha Bhalla,General Physician,3,"MD, DM","Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8769747838,dr..sneha.bhalla@vijayawada.hospital.com,3.5,Highly professional and caring.; Highly recommended for specialized care.; Took time to address all concerns.,Ramesh Hospitals,930
Dr. Niharika Kohli,Psychiatrist,19,"MS, MBBS, MD","Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 9581810215,dr..niharika.kohli@visakhapatnam.hospital.com,4.8,Explained the condition very clearly.; Highly professional and caring.; Patient and compassionate treatment.,Care Hospitals,1293
Dr. Kabir Malhotra,ENT Specialist,5,"DNB, MCh","Dwaraka Nagar, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 9108770125,dr..kabir.malhotra@visakhapatnam.hospital.com,4.8,Highly professional and caring.; Highly recommended for specialized care.; Took time to address all concerns.,Seven Hills Hospital,1818
Dr. Sneha Joshi,General Physician,17,"DNB, PhD","Benz Circle, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8915225216,dr..sneha.joshi@vijayawada.hospital.com,4.2,Highly recommended for specialized care.; Highly professional and caring.; Took time to address all concerns.,Andhra Hospitals,1803
Dr. Karan Iyer,Cardiologist,8,"MCh, MS, MD","Gajuwaka, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8353329720,dr..karan.iyer@visakhapatnam.hospital.com,4.7,Took time to address all concerns.; Highly recommended for specialized care.; Highly professional and caring.,Apollo Hospitals,1757
Dr. Saanvi Menon,Cardiologist,8,"MD, MBBS, MS","Nallapadu, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7498146130,dr..saanvi.menon@guntur.hospital.com,3.9,Took time to address all concerns.; Highly professional and caring.; Highly recommended for specialized care.,Government General Hospital,663
Dr. Diya Pathak,Psychiatrist,13,"MBBS, MD, DNB","MVP Colony, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7084937488,dr..diya.pathak@visakhapatnam.hospital.com,4.5,Patient and compassionate treatment.; Took time to address all concerns.; Highly professional and caring.,Care Hospitals,673
Dr. Aman Sethi,Dermatologist,20,"DNB, PhD","Bhavanipuram, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7902859826,dr..aman.sethi@vijayawada.hospital.com,3.8,Explained the condition very clearly.; Patient and compassionate treatment.; Took time to address all concerns.,Manipal Hospitals,443
Dr. Ishaan Roy,Ophthalmologist,19,"DM, MS, MD","Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8248353507,dr..ishaan.roy@visakhapatnam.hospital.com,4.0,Explained the condition very clearly.; Highly professional and caring.; Highly recommended for specialized care.,Care Hospitals,1835
Dr. Ritu Chaudhary,Ophthalmologist,36,"MS, MD, DM","Benz Circle, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 9333534033,dr..ritu.chaudhary@vijayawada.hospital.com,4.5,Patient and compassionate treatment.; Highly professional and caring.; Took time to address all concerns.,Manipal Hospitals,985
Dr. Harsh Pathak,Cardiologist,21,"DNB, MS","Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 9816448302,dr..harsh.pathak@visakhapatnam.hospital.com,4.9,Patient and compassionate treatment.; Highly recommended for specialized care.; Highly professional and caring.,Apollo Hospitals,1606
Dr. Meera Pathak,ENT Specialist,34,MBBS,"Auto Nagar, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 9777400446,dr..meera.pathak@vijayawada.hospital.com,4.7,Highly recommended for specialized care.; Patient and compassionate treatment.; Explained the condition very clearly.,Andhra Hospitals,1956
Dr. Tara Menon,Dermatologist,39,MCh,"Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7660360630,dr..tara.menon@visakhapatnam.hospital.com,3.6,Explained the condition very clearly.; Highly professional and caring.; Patient and compassionate treatment.,Apollo Hospitals,1006
Dr. Arjun Banerjee,ENT Specialist,28,"DNB, MBBS, DM","Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8252901555,dr..arjun.banerjee@visakhapatnam.hospital.com,4.1,Highly professional and caring.; Took time to address all concerns.; Patient and compassionate treatment.,Seven Hills Hospital,1819
Dr. Meera Mishra,Neurologist,18,"DM, MCh","MVP Colony, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7970919134,dr..meera.mishra@visakhapatnam.hospital.com,4.5,Patient and compassionate treatment.; Explained the condition very clearly.; Took time to address all concerns.,Seven Hills Hospital,1711
Dr. Advait Joshi,Dermatologist,38,"MS, DNB","Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 8888739364,dr..advait.joshi@vijayawada.hospital.com,4.7,Highly recommended for specialized care.; Took time to address all concerns.; Patient and compassionate treatment.,Andhra Hospitals,769
Dr. Aryan Malhotra,Ophthalmologist,35,"DM, PhD, DNB","Gajuwaka, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7192093682,dr..aryan.malhotra@visakhapatnam.hospital.com,4.6,Patient and compassionate treatment.; Highly recommended for specialized care.; Took time to address all concerns.,Apollo Hospitals,627
Dr. Varun Patel,General Physician,19,"DM, DNB","Siripuram, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8540299340,dr..varun.patel@visakhapatnam.hospital.com,4.1,Took time to address all concerns.; Explained the condition very clearly.; Highly recommended for specialized care.,Apollo Hospitals,1509
Dr. Niharika Pathak,ENT Specialist,36,"DNB, MS, MCh","Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 7201303219,dr..niharika.pathak@visakhapatnam.hospital.com,3.5,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,Care Hospitals,1928
Dr. Karan Pillai,Dermatologist,6,"MBBS, MCh","Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 9414595447,dr..karan.pillai@vijayawada.hospital.com,4.2,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,Manipal Hospitals,1024
Dr. Ravi Gupta,Ophthalmologist,7,MBBS,"Patamata, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7704704255,dr..ravi.gupta@vijayawada.hospital.com,4.2,Highly professional and caring.; Highly recommended for specialized care.; Took time to address all concerns.,Manipal Hospitals,693
Dr. Diya Malhotra,Ophthalmologist,5,MS,"Benz Circle, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 9582704007,dr..diya.malhotra@vijayawada.hospital.com,3.8,Explained the condition very clearly.; Took time to address all concerns.; Highly professional and caring.,Ramesh Hospitals,1057
Dr. Ravi Kapoor,Cardiologist,18,"DNB, DM","Brodipet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7570552255,dr..ravi.kapoor@guntur.hospital.com,3.7,Explained the condition very clearly.; Patient and compassionate treatment.; Highly professional and caring.,Government General Hospital,587
Dr. Anjali Pandey,General Physician,23,"MS, PhD, DM","Seethammadhara, Visakhapatnam, Andhra Pradesh",Visakhapatnam,Andhra Pradesh,+91 8937510253,dr..anjali.pandey@visakhapatnam.hospital.com,4.4,Patient and compassionate treatment.; Highly professional and caring.; Highly recommended for specialized care.,Seven Hills Hospital,1902
Dr. Vivaan Chopra,Dermatologist,6,"MS, PhD","Arundelpet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 9046951721,dr..vivaan.chopra@guntur.hospital.com,3.7,Explained the condition very clearly.; Patient and compassionate treatment.; Highly professional and caring.,Kamineni Hospitals,629
Dr. Sia Mathur,Gynecologist,16,"MCh, DM, MD","Amaravati Road, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7260827743,dr..sia.mathur@guntur.hospital.com,4.9,Took time to address all concerns.; Patient and compassionate treatment.; Highly recommended for specialized care.,Government General Hospital,308
Dr. Harsh Chawla,Psychiatrist,13,"DNB, DM, MS","Arundelpet, Guntur, Andhra Pradesh",Guntur,Andhra Pradesh,+91 7974137976,dr..harsh.chawla@guntur.hospital.com,4.1,Highly recommended for specialized care.; Highly professional and caring.; Explained the condition very clearly.,NRI General Hospital,953
Dr. Saanvi Joshi,ENT Specialist,25,DNB,"Suryaraopet, Vijayawada, Andhra Pradesh",Vijayawada,Andhra Pradesh,+91 7559549244,dr..saanvi.joshi@vijayawada.hospital.com,3.8,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,Ramesh Hospitals,1228
Dr. Aditya Singh,Dermatologist,33,"MBBS, MCh","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 9041379927,dr..aditya.singh@pasighat.hospital.com,4.5,Patient and compassionate treatment.; Highly professional and caring.; Explained the condition very clearly.,City General Hospital,867
Dr. Mira Pathak,Gynecologist,34,"MBBS, DM, PhD","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 9158894752,dr..mira.pathak@tawang.hospital.com,4.4,Took time to address all concerns.; Patient and compassionate treatment.; Highly professional and caring.,City General Hospital,1142
Dr. Ishaan Thakur,Orthopedic,13,"PhD, DM","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 8054115352,dr..ishaan.thakur@pasighat.hospital.com,4.8,Explained the condition very clearly.; Patient and compassionate treatment.; Took time to address all concerns.,City General Hospital,1325
Dr. Priya Chaudhary,Cardiologist,17,"MS, MBBS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 7946995147,dr..priya.chaudhary@itanagar.hospital.com,4.5,Highly professional and caring.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,443
Dr. Parth Ghosh,Pediatrician,5,"PhD, DNB","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 9027106355,dr..parth.ghosh@tawang.hospital.com,4.2,Highly professional and caring.; Took time to address all concerns.; Highly recommended for specialized care.,City General Hospital,606
Dr. Diya Pillai,Gynecologist,11,"MD, MBBS","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 9352855946,dr..diya.pillai@tawang.hospital.com,4.2,Explained the condition very clearly.; Patient and compassionate treatment.; Highly professional and caring.,City General Hospital,336
Dr. Tara Menon,Gynecologist,27,MBBS,"123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 9135652676,dr..tara.menon@itanagar.hospital.com,4.0,Patient and compassionate treatment.; Highly recommended for specialized care.; Took time to address all concerns.,City General Hospital,1718
Dr. Priya Dey,General Physician,11,MD,"123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 8399591360,dr..priya.dey@pasighat.hospital.com,3.6,Highly recommended for specialized care.; Patient and compassionate treatment.; Highly professional and caring.,City General Hospital,1817
Dr. Varun Pillai,Psychiatrist,9,"MBBS, DNB","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 9764914080,dr..varun.pillai@pasighat.hospital.com,4.3,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,Global Care Hospital,1824
Dr. Eshaan Dey,Orthopedic,4,"MD, MS, MCh","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8131671654,dr..eshaan.dey@tawang.hospital.com,4.9,Highly professional and caring.; Explained the condition very clearly.; Highly recommended for specialized care.,Global Care Hospital,527
Dr. Nikhil Gupta,Cardiologist,20,"MBBS, MCh","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7593552073,dr..nikhil.gupta@pasighat.hospital.com,4.7,Highly professional and caring.; Patient and compassionate treatment.; Took time to address all concerns.,Global Care Hospital,1201
Dr. Anjali Sharma,ENT Specialist,21,"DNB, MBBS, MCh","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 8596645252,dr..anjali.sharma@itanagar.hospital.com,3.6,Patient and compassionate treatment.; Took time to address all concerns.; Highly professional and caring.,Global Care Hospital,1640
Dr. Lakshmi Patel,Ophthalmologist,31,"MD, DNB, MBBS","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 9835404217,dr..lakshmi.patel@tawang.hospital.com,4.4,Patient and compassionate treatment.; Explained the condition very clearly.; Took time to address all concerns.,Global Care Hospital,826
Dr. Lakshmi Chawla,Ophthalmologist,29,"MD, MBBS","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7975199877,dr..lakshmi.chawla@pasighat.hospital.com,4.7,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,City General Hospital,1596
Dr. Ravi Mehta,Cardiologist,20,"MD, DNB, PhD","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7692139447,dr..ravi.mehta@pasighat.hospital.com,4.8,Patient and compassionate treatment.; Took time to address all concerns.; Highly professional and caring.,Global Care Hospital,939
Dr. Arjun Chopra,ENT Specialist,17,"MD, MS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 7687758807,dr..arjun.chopra@itanagar.hospital.com,4.3,Explained the condition very clearly.; Took time to address all concerns.; Patient and compassionate treatment.,City General Hospital,1929
Dr. Neha Kapoor,ENT Specialist,25,MBBS,"123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 8105878702,dr..neha.kapoor@pasighat.hospital.com,3.6,Highly professional and caring.; Patient and compassionate treatment.; Highly recommended for specialized care.,City General Hospital,1242
Dr. Kabir Menon,Pediatrician,5,"MD, MBBS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 7651054734,dr..kabir.menon@itanagar.hospital.com,4.3,Highly recommended for specialized care.; Patient and compassionate treatment.; Took time to address all concerns.,Global Care Hospital,1502
Dr. Priya Bhalla,Cardiologist,8,DNB,"123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8310652606,dr..priya.bhalla@tawang.hospital.com,3.6,Explained the condition very clearly.; Highly professional and caring.; Highly recommended for specialized care.,Global Care Hospital,1914
Dr. Anjali Sharma,Pediatrician,10,"MD, PhD, DM","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 7761509192,dr..anjali.sharma@tawang.hospital.com,4.3,Took time to address all concerns.; Explained the condition very clearly.; Highly professional and caring.,City General Hospital,604
Dr. Kabir Mishra,Dermatologist,29,"MBBS, MS, DNB","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 9406987071,dr..kabir.mishra@pasighat.hospital.com,4.1,Highly recommended for specialized care.; Explained the condition very clearly.; Patient and compassionate treatment.,City General Hospital,1165
Dr. Ravi Jain,Cardiologist,21,MS,"123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 7165581689,dr..ravi.jain@itanagar.hospital.com,4.2,Patient and compassionate treatment.; Highly recommended for specialized care.; Took time to address all concerns.,Global Care Hospital,1136
Dr. Siddharth Chawla,ENT Specialist,18,MS,"123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8878242534,dr..siddharth.chawla@tawang.hospital.com,4.9,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,Global Care Hospital,821
Dr. Aditya Dey,Psychiatrist,22,"DM, MS, MCh","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 9919207862,dr..aditya.dey@pasighat.hospital.com,3.9,Explained the condition very clearly.; Took time to address all concerns.; Highly professional and caring.,Global Care Hospital,1482
Dr. Aditi Banerjee,Ophthalmologist,22,PhD,"123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8124727659,dr..aditi.banerjee@tawang.hospital.com,4.2,Highly professional and caring.; Highly recommended for specialized care.; Patient and compassionate treatment.,Global Care Hospital,1635
Dr. Eshaan Nair,Gynecologist,27,MD,"123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8064453969,dr..eshaan.nair@tawang.hospital.com,3.7,Highly recommended for specialized care.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,884
Dr. Anjali Patel,Cardiologist,37,"MD, MS","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 7878301095,dr..anjali.patel@tawang.hospital.com,4.1,Explained the condition very clearly.; Highly recommended for specialized care.; Patient and compassionate treatment.,City General Hospital,495
Dr. Ravi Kumar,Ophthalmologist,11,DNB,"123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 8917677159,dr..ravi.kumar@itanagar.hospital.com,3.6,Highly recommended for specialized care.; Patient and compassionate treatment.; Took time to address all concerns.,City General Hospital,630
Dr. Tara Chaudhary,General Physician,33,"PhD, MBBS, DM","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 8738186583,dr..tara.chaudhary@pasighat.hospital.com,4.4,Took time to address all concerns.; Explained the condition very clearly.; Patient and compassionate treatment.,City General Hospital,1171
Dr. Aarav Agrawal,Neurologist,20,"MD, PhD, MBBS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 8940870686,dr..aarav.agrawal@itanagar.hospital.com,4.3,Explained the condition very clearly.; Patient and compassionate treatment.; Took time to address all concerns.,Global Care Hospital,1975
Dr. Priya Das,Psychiatrist,33,"MCh, MD, DM","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 8767515586,dr..priya.das@tawang.hospital.com,4.7,Patient and compassionate treatment.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,1719
Dr. Mira Saxena,Cardiologist,31,"PhD, MS, MD","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 8202219053,dr..mira.saxena@itanagar.hospital.com,3.7,Explained the condition very clearly.; Highly recommended for specialized care.; Patient and compassionate treatment.,Global Care Hospital,917
Dr. Aryan Verma,ENT Specialist,4,"MCh, MS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 7484367076,dr..aryan.verma@itanagar.hospital.com,3.6,Took time to address all concerns.; Highly recommended for specialized care.; Highly professional and caring.,Global Care Hospital,991
Dr. Anjali Saxena,Gynecologist,10,"DNB, MD, DM","123 Street, Tawang, Arunachal Pradesh",Tawang,Arunachal Pradesh,+91 9072606803,dr..anjali.saxena@tawang.hospital.com,4.7,Explained the condition very clearly.; Highly professional and caring.; Took time to address all concerns.,Global Care Hospital,1640
Dr. Simran Joshi,Dermatologist,15,MS,"123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7532467788,dr..simran.joshi@pasighat.hospital.com,4.7,Patient and compassionate treatment.; Explained the condition very clearly.; Highly recommended for specialized care.,Global Care Hospital,1481
Dr. Isha Joshi,Psychiatrist,18,MS,"123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7460058595,dr..isha.joshi@pasighat.hospital.com,4.3,Highly professional and caring.; Explained the condition very clearly.; Took time to address all concerns.,City General Hospital,1555
Dr. Anjali Menon,Psychiatrist,36,"MBBS, DM","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 9935712591,dr..anjali.menon@pasighat.hospital.com,4.9,Explained the condition very clearly.; Patient and compassionate treatment.; Highly recommended for specialized care.,Global Care Hospital,881
Dr. Aditi Patel,Ophthalmologist,31,"DM, MD, MS","123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 9624346619,dr..aditi.patel@itanagar.hospital.com,4.6,Took time to address all concerns.; Highly recommended for specialized care.; Explained the condition very clearly.,Global Care Hospital,1881
Dr. Niharika Dey,Neurologist,22,MCh,"123 Street, Itanagar, Arunachal Pradesh",Itanagar,Arunachal Pradesh,+91 9637977251,dr..niharika.dey@itanagar.hospital.com,4.0,Highly professional and caring.; Took time to address all concerns.; Patient and compassionate treatment.,City General Hospital,806
Dr. Naina Singh,General Physician,23,"PhD, MCh","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7820002695,dr..naina.singh@pasighat.hospital.com,4.6,Highly recommended for specialized care.; Highly professional and caring.; Took time to address all concerns.,City General Hospital,487
Dr. Tara Nigam,Ophthalmologist,23,"MD, DM, MS","123 Street, Pasighat, Arunachal Pradesh",Pasighat,Arunachal Pradesh,+91 7441015657,dr..tara.nigam@pasighat.hospital.com,4.6,Took time to address all concerns.; Patient and compassionate treatment.; Explained the condition very clearly.,Global Care Hospital,1127
